Data,Positivi Tampone Molecolare,Positivi Tampone Antigenico,Guariti,Deceduti,Attualmente Positivi,Totale
2 novembre 2020,20,0,2,0,20,22
3 novembre 2020,20,0,2,0,20,22
4 novembre 2020,22,0,2,0,22,24
5 novembre 2020,30,0,2,0,30,32
6 novembre 2020,30,0,3,0,30,33
8 novembre 2020,42,26,3,0,68,71
10 novembre 2020,48,28,9,0,76,85
11 novembre 2020,59,26,9,0,85,94
12 novembre 2020,57,30,11,0,87,98
13 novembre 2020,57,42,11,0,99,110
15 novembre 2020,77,39,15,0,116,131
16 novembre 2020,78,41,15,0,119,134
17 novembre 2020,78,43,15,0,121,136
18 novembre 2020,112,9,22,0,121,143
19 novembre 2020,112,16,22,0,128,150
20 novembre 2020,111,17,23,0,128,151
21 novembre 2020,111,17,23,0,128,151
22 novembre 2020,134,1,29,0,135,164
23 novembre 2020,134,4,29,0,138,167
24 novembre 2020,133,6,30,0,139,169
25 novembre 2020,133,8,30,0,141,171
26 novembre 2020,133,9,30,0,142,172
27 novembre 2020,133,9,30,0,142,172
28 novembre 2020,133,11,30,0,144,174
30 novembre 2020,116,5,68,0,121,189
1 dicembre 2020,118,11,68,0,129,197
2 dicembre 2020,117,11,69,0,128,197
3 dicembre 2020,114,9,77,0,123,200
4 dicembre 2020,116,0,86,0,116,202
5 dicembre 2020,116,0,86,0,116,202
6 dicembre 2020,107,0,95,0,107,202
7 dicembre 2020,95,1,108,0,96,204
8 dicembre 2020,95,1,108,0,96,204
9 dicembre 2020,71,0,133,0,71,204
10 dicembre 2020,65,2,140,0,67,207
11 dicembre 2020,65,2,140,0,67,207
12 dicembre 2020,58,2,147,0,60,207
14 dicembre 2020,53,1,153,0,54,207
15 dicembre 2020,51,1,155,0,52,207
16 dicembre 2020,43,1,163,0,44,207
17 dicembre 2020,40,1,168,0,41,209
18 dicembre 2020,40,1,168,0,41,209
19 dicembre 2020,34,2,175,0,36,211
20 dicembre 2020,31,2,179,0,33,212
21 dicembre 2020,30,3,180,0,33,213
22 dicembre 2020,29,1,184,0,30,214
23 dicembre 2020,27,1,186,0,28,214
24 dicembre 2020,27,0,190,0,27,217
26 dicembre 2020,25,0,192,0,25,217
27 dicembre 2020,24,0,193,0,24,217
28 dicembre 2020,27,0,193,1,27,221
29 dicembre 2020,28,0,193,1,28,222
30 dicembre 2020,23,2,199,1,25,225
31 dicembre 2020,26,7,200,2,33,235
1 gennaio 2021,27,5,201,2,32,235
2 gennaio 2021,27,7,201,2,34,237
3 gennaio 2021,25,7,203,2,32,237
4 gennaio 2021,25,8,205,2,33,240
5 gennaio 2021,25,16,205,2,41,248
6 gennaio 2021,32,9,205,2,41,248
7 gennaio 2021,48,2,205,2,50,257
8 gennaio 2021,47,2,205,3,49,257
9 gennaio 2021,46,3,208,3,49,260
11 gennaio 2021,55,6,211,3,61,275
12 gennaio 2021,55,7,211,3,62,276
13 gennaio 2021,54,10,212,3,64,279
14 gennaio 2021,56,10,218,3,66,287
15 gennaio 2021,54,14,220,3,68,291
16 gennaio 2021,56,13,220,3,69,292
17 gennaio 2021,67,7,220,3,74,297
18 gennaio 2021,73,3,220,3,76,299
19 gennaio 2021,75,5,221,3,80,304
20 gennaio 2021,84,8,221,3,92,316
21 gennaio 2021,87,7,222,3,94,319
22 gennaio 2021,85,9,224,3,94,321
23 gennaio 2021,90,4,226,3,94,323
24 gennaio 2021,92,1,227,3,93,323
25 gennaio 2021,90,2,231,3,92,326
26 gennaio 2021,85,3,237,3,88,328
27 gennaio 2021,86,5,238,3,91,332
28 gennaio 2021,89,2,239,3,91,333
29 gennaio 2021,84,2,245,3,86,334
30 gennaio 2021,84,2,246,3,86,335
02 febbraio 2021,80,0,252,3,80,335
03 febbraio 2021,69,0,364,3,69,336
